school_name,lea_name,lea_no,isp,eligible
Alexander Wilson Elementary,Alamance-Burlington Schools,10,35.1,
Altamahaw Ossipee Elem,Alamance-Burlington Schools,10,34.8,
B Everett Jordan Elem,Alamance-Burlington Schools,10,37.8,
Broadview Middle,Alamance-Burlington Schools,10,58.1,X
E M Yoder Elementary,Alamance-Burlington Schools,10,31.6,
Eastlawn Elementary,Alamance-Burlington Schools,10,69.9,X
Garrett Elementary,Alamance-Burlington Schools,10,37.9,
Graham High,Alamance-Burlington Schools,10,43.9,X
Graham Middle,Alamance-Burlington Schools,10,49.2,X
Grove Park Elementary,Alamance-Burlington Schools,10,58.9,X
Harvey R Newlin Elementary,Alamance-Burlington Schools,10,67.8,X
Haw River Elementary,Alamance-Burlington Schools,10,62.3,X
Hillcrest Elementary,Alamance-Burlington Schools,10,58.9,X
Hugh M Cummings High,Alamance-Burlington Schools,10,47.8,X
North Graham Elementary,Alamance-Burlington Schools,10,69.7,X
Pleasant Grove Elementary,Alamance-Burlington Schools,10,55.2,X
R Homer Andrews Elementary,Alamance-Burlington Schools,10,61.4,X
Ray Street Academy,Alamance-Burlington Schools,10,55.8,X
South Graham Elementary,Alamance-Burlington Schools,10,55.5,X
Sylvan Elementary,Alamance-Burlington Schools,10,44.3,X
Turrentine Middle,Alamance-Burlington Schools,10,41.1,X
Walter M Williams High,Alamance-Burlington Schools,10,34.8,
East Alexander Middle,Alexander County Schools,20,34.7,
Ellendale Elementary,Alexander County Schools,20,45.2,X
Hiddenite Elementary,Alexander County Schools,20,46.7,X
Stony Point Elementary,Alexander County Schools,20,46.6,X
Sugar Loaf Elementary,Alexander County Schools,20,31.1,
Taylorsville Elementary,Alexander County Schools,20,62,X
Wittenburg Elementary,Alexander County Schools,20,40.1,X
Alleghany High,Alleghany County Schools,30,33.9,
Glade Creek Elementary,Alleghany County Schools,30,42.5,X
Sparta Elementary,Alleghany County Schools,30,49.4,X
Anson Challenge Academy,Anson County Schools,40,88.2,X
Anson High,Anson County Schools,40,54.4,X
Anson Middle,Anson County Schools,40,62.5,X
Anson New Technology School,Anson County Schools,40,48.1,X
Ansonville Elem,Anson County Schools,40,40.5,X
Lilesville Elementary,Anson County Schools,40,63.9,X
Morven Elementary,Anson County Schools,40,85.4,X
Peachland-Polkton Elem,Anson County Schools,40,56.8,X
Wadesboro Elementary,Anson County Schools,40,88.5,X
Wadesboro Primary,Anson County Schools,40,86.5,X
Ashe County High,Ashe County Schools,50,30.7,
Ashe County Middle,Ashe County Schools,50,43.2,X
Blue Ridge Elementary,Ashe County Schools,50,51.3,X
Mountain View Elementary,Ashe County Schools,50,47.5,X
Westwood Elementary,Ashe County Schools,50,40.5,X
Avery Middle,Avery County Schools,60,34.1,
Cranberry Middle,Avery County Schools,60,36.1,
Crossnore Elementary,Avery County Schools,60,32.6,
Freedom Trail Elementary,Avery County Schools,60,43.7,X
Newland Elementary,Avery County Schools,60,48.6,X
Riverside Elementary,Avery County Schools,60,43.5,X
B C Ed Tech Center,Beaufort County Schools,70,82.9,X
Chocowinity Middle,Beaufort County Schools,70,43.3,X
Chocowinity Primary,Beaufort County Schools,70,53.6,X
Eastern Elementary,Beaufort County Schools,70,58.2,X
John C Tayloe Elementary,Beaufort County Schools,70,54.9,X
John Small Elementary,Beaufort County Schools,70,52.9,X
Northeast Elementary,Beaufort County Schools,70,49,X
P S Jones Middle,Beaufort County Schools,70,48.9,X
S W Snowden Elementary,Beaufort County Schools,70,64.4,X
Southside High,Beaufort County Schools,70,40,X
Washington High,Beaufort County Schools,70,39.3,
Aulander Elementary,Bertie County Schools,80,68,X
Bertie Early College,Bertie County Schools,80,40,X
Bertie High,Bertie County Schools,80,53.5,X
Bertie Middle School,Bertie County Schools,80,61.4,X
Colerain Elementary,Bertie County Schools,80,68.3,X
West Bertie Elementary,Bertie County Schools,80,77.7,X
Windsor Elementary,Bertie County Schools,80,65.6,X
B T Washington Primary,Bladen County Schools,90,77.4,X
Bladen Lakes Primary,Bladen County Schools,90,62.3,X
Bladenboro Middle,Bladen County Schools,90,51.4,X
Bladenboro Primary,Bladen County Schools,90,61,X
Clarkton Sch of Discovery,Bladen County Schools,90,34.7,
Dublin Primary,Bladen County Schools,90,54.9,X
East Arcadia Elementary,Bladen County Schools,90,64.1,X
East Bladen High,Bladen County Schools,90,48.3,X
Elizabethtown Middle,Bladen County Schools,90,62.8,X
Elizabethtown Primary,Bladen County Schools,90,62.5,X
Plain View Primary,Bladen County Schools,90,73.9,X
Tar Heel Middle,Bladen County Schools,90,56.3,X
West Bladen High,Bladen County Schools,90,43.5,X
Belville Elementary,Brunswick County Schools,100,36.9,
Bolivia Elementary,Brunswick County Schools,100,42,X
Brunswick County Academy,Brunswick County Schools,100,63.8,X
Cedar Grove Middle School,Brunswick County Schools,100,46.9,X
Jessie Mae Monroe Elementary,Brunswick County Schools,100,51.4,X
Leland Middle,Brunswick County Schools,100,41.2,X
Lincoln Elementary,Brunswick County Schools,100,60.8,X
North Brunswick High,Brunswick County Schools,100,30,
Shallotte Middle,Brunswick County Schools,100,38.5,
South Brunswick Middle,Brunswick County Schools,100,31.4,
Southport Elementary,Brunswick County Schools,100,39.4,
Supply Elementary,Brunswick County Schools,100,62.5,X
Town Creek Elementary School,Brunswick County Schools,100,38.8,
Union Elementary,Brunswick County Schools,100,43.3,X
Virginia Williamson Elem,Brunswick County Schools,100,52.3,X
Waccamaw Elementary,Brunswick County Schools,100,44.4,X
West Brunswick High,Brunswick County Schools,100,30.7,
A C Reynolds Middle,Buncombe County Schools,110,36.4,
Avery's Creek Elementary,Buncombe County Schools,110,46.1,X
Barnardsville Elementary,Buncombe County Schools,110,50.7,X
Black Mountain Elementary,Buncombe County Schools,110,33.6,
Black Mountain Primary,Buncombe County Schools,110,38,
Candler Elementary,Buncombe County Schools,110,47.3,X
Charles C Bell Elementary,Buncombe County Schools,110,31.9,
Charles D Owen Middle,Buncombe County Schools,110,38.6,
