lea_no,lea_name,school_no,school_name,isp,eligible,participating
10,Alamance-Burlington Schools,303,A.B. Middle College,20.35,, 
10,Alamance-Burlington Schools,304,Alexander Wilson Elementary,33.96,, 
10,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,32.25,, 
10,Alamance-Burlington Schools,310,Broadview Middle,56.16,X,X
10,Alamance-Burlington Schools,312,Highland Elementary School,25.44,, 
10,Alamance-Burlington Schools,320,E M Yoder Elementary,29.57,, 
10,Alamance-Burlington Schools,324,Eastern Alamance High,22.54,, 
10,Alamance-Burlington Schools,326,Eastlawn Elementary,67.53,X,X
10,Alamance-Burlington Schools,328,Edwin M Holt Elementary,24.06,, 
10,Alamance-Burlington Schools,340,Elon Elementary,32.29,, 
10,Alamance-Burlington Schools,346,B Everett Jordan Elem,38.57,, 
10,Alamance-Burlington Schools,347,Garrett Elementary,39.83,, 
10,Alamance-Burlington Schools,348,Graham High,42.52,X, 
10,Alamance-Burlington Schools,350,Graham Middle,53.41,X, 
10,Alamance-Burlington Schools,351,Grove Park Elementary,56.52,X,X
10,Alamance-Burlington Schools,353,Hawfields Middle,32.4,, 
10,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,66.4,X,X
10,Alamance-Burlington Schools,357,Haw River Elementary,60.65,X,X
10,Alamance-Burlington Schools,358,Hillcrest Elementary,62.44,X,X
10,Alamance-Burlington Schools,360,Hugh M Cummings High,49.06,X, 
10,Alamance-Burlington Schools,362,Marvin B Smith Elementary,33.28,, 
10,Alamance-Burlington Schools,364,North Graham Elementary,72.09,X,X
10,Alamance-Burlington Schools,372,Pleasant Grove Elementary,50.39,X,X
10,Alamance-Burlington Schools,374,R Homer Andrews Elementary,59.73,X,X
10,Alamance-Burlington Schools,378,Ray Street Academy,48.28,X, 
10,Alamance-Burlington Schools,380,South Graham Elementary,52.12,X,X
10,Alamance-Burlington Schools,384,South Mebane Elementary,31.34,, 
10,Alamance-Burlington Schools,388,Southern High,21.51,, 
10,Alamance-Burlington Schools,390,Southern Middle,25.26,, 
10,Alamance-Burlington Schools,392,Sylvan Elementary,42.19,X, 
10,Alamance-Burlington Schools,394,Turrentine Middle,40.1,X, 
10,Alamance-Burlington Schools,396,Walter M Williams High,33.02,, 
10,Alamance-Burlington Schools,400,Western Alamance High,18.96,, 
10,Alamance-Burlington Schools,403,Western Middle,20.23,, 
10,Alamance-Burlington Schools,406,Woodlawn Middle,26.98,, 
20,Alexander County Schools,302,Alexander Central High,24.95,, 
20,Alexander County Schools,304,Bethlehem Elementary,28.63,, 
20,Alexander County Schools,306,East Alexander Middle,35.49,, 
20,Alexander County Schools,308,Ellendale Elementary,37.54,, 
20,Alexander County Schools,316,Hiddenite Elementary,45.3,X, 
20,Alexander County Schools,320,Stony Point Elementary,50.33,X, 
20,Alexander County Schools,324,Sugar Loaf Elementary,27.98,, 
20,Alexander County Schools,328,Taylorsville Elementary,0.6083,X,
20,Alexander County Schools,330,West Alexander Middle,0.2709,, 
20,Alexander County Schools,332,Wittenburg Elementary,0.3779,, 
30,Alleghany County Schools,304,Alleghany High,0.3725,, 
30,Alleghany County Schools,308,Glade Creek Elementary,0.4048,X,
30,Alleghany County Schools,316,Piney Creek Elementary,0.2484,,
30,Alleghany County Schools,320,Sparta Elementary,0.5465,X,
40,Anson County Schools,304,Anson Co. Early College High,0.3023,,X
40,Anson County Schools,305,Anson Challenge Academy,0.6796,X,X
40,Anson County Schools,306,Anson High,0.5494,X,X
40,Anson County Schools,308,Ansonville Elem,0.4233,X,X
40,Anson County Schools,309,Anson Middle,0.5345,X,X
40,Anson County Schools,311,Wadesboro Primary,0.7729,X,X
40,Anson County Schools,316,Lilesville Elementary,0.5961,X,X
40,Anson County Schools,324,Morven Elementary,0.8785,X,X
40,Anson County Schools,328,Peachland-Polkton Elem,0.5441,X,X
40,Anson County Schools,330,Wadesboro Elementary,0.768,X,X
40,Anson County Schools,700,Anson New Technology School,0.4161,X,X
50,Ashe County Schools,302,Ashe County High,0.3097,, 
50,Ashe County Schools,305,Ashe County Middle,0.3992,, 
50,Ashe County Schools,310,Blue Ridge Elementary,0.4359,X, 
50,Ashe County Schools,330,Mountain View Elementary,0.4783,X, 
50,Ashe County Schools,335,Westwood Elementary,0.4058,X, 
60,Avery County Schools,302,Avery County High,0.2945,, 
60,Avery County Schools,304,Banner Elk Elementary,0.3526,, 
60,Avery County Schools,310,Cranberry Middle,0.3057,, 
60,Avery County Schools,316,Crossnore Elementary,0.2955,, 
60,Avery County Schools,318,Avery Middle,0.3554,, 
60,Avery County Schools,322,Freedom Trail Elementary,0.4044,X, 
60,Avery County Schools,328,Newland Elementary,0.4286,X, 
60,Avery County Schools,332,Riverside Elementary,0.4016,X, 
70,Beaufort County Schools,302,Eastern Elementary,0.6627,X,X
70,Beaufort County Schools,308,Bath Elementary,0.2693,, 
70,Beaufort County Schools,310,B C Ed Tech Center,0.6961,X,X
70,Beaufort County Schools,311,Beaufort County Early College High School,0.3258,, 
70,Beaufort County Schools,325,Chocowinity Middle,0.5013,X, 
70,Beaufort County Schools,326,Chocowinity Primary,0.5714,X, 
70,Beaufort County Schools,327,John C Tayloe Elementary,0.5926,X, 
70,Beaufort County Schools,328,John Small Elementary,0.5597,X, 
70,Beaufort County Schools,329,Northeast Elementary,0.5047,X, 
70,Beaufort County Schools,330,Northside High,0.2725,, 
70,Beaufort County Schools,338,P S Jones Middle,0.5087,X, 
70,Beaufort County Schools,339,Southside High,0.4548,X, 
70,Beaufort County Schools,340,S W Snowden Elementary,0.7238,X,X
70,Beaufort County Schools,342,Washington High,0.4156,X, 
