LEA,LEA Name,SCH,School Name, KIND , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , XDY6 , XDY7 , XDY8 , XDY9 , XDY10 , XDY11 , XDY12 , XDY13 , Total ,
010,Alamance-Burlington Schools,303,Alamance-Burlington Middle/Early College,,,,,,,,,, 65 , 61 , 48 , 18 ,,,,,,,,,, 192 ,
010,Alamance-Burlington Schools,304,Alexander Wilson Elementary, 93 , 92 , 98 , 101 , 109 , 91 ,,,,,,,,,,,,,,,,, 584 ,
010,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem, 106 , 87 , 99 , 106 , 100 , 127 ,,,,,,,,,,,,,,,,, 625 ,
010,Alamance-Burlington Schools,310,Broadview Middle,,,,,,, 244 , 252 , 238 ,,,,,,,,,,,,,, 734 ,
010,Alamance-Burlington Schools,312,Highland Elementary, 126 , 126 , 119 , 106 , 116 , 133 ,,,,,,,,,,,,,,,,, 726 ,
010,Alamance-Burlington Schools,320,E M Yoder Elementary, 62 , 63 , 53 , 67 , 57 , 55 ,,,,,,,,,,,,,,,,, 357 ,
010,Alamance-Burlington Schools,324,Eastern Alamance High,,,,,,,,,, 340 , 316 , 326 , 262 ,,,,,,,,,," 1,244 ",
010,Alamance-Burlington Schools,326,Eastlawn Elementary, 100 , 87 , 92 , 97 , 102 , 97 ,,,,,,,,,,,,,,,,, 575 ,
010,Alamance-Burlington Schools,328,Edwin M Holt Elementary, 74 , 91 , 79 , 96 , 113 , 111 ,,,,,,,,,,,,,,,,, 564 ,
010,Alamance-Burlington Schools,340,Elon Elementary, 122 , 110 , 120 , 115 , 121 , 116 ,,,,,,,,,,,,,,,,, 704 ,
010,Alamance-Burlington Schools,346,B Everett Jordan Elem, 47 , 77 , 61 , 60 , 62 , 67 ,,,,,,,,,,,,,,,,, 374 ,
010,Alamance-Burlington Schools,347,Garrett Elementary, 99 , 118 , 91 , 120 , 118 , 107 ,,,,,,,,,,,,,,,,, 653 ,
