lea_no,lea_name,school_no,school_name,eligible,participating,isp
10,Alamance-Burlington Schools,303,A.B. Middle College,, ,24.84
10,Alamance-Burlington Schools,304,Alexander Wilson Elementary,, ,32.04
10,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,, ,31.69
10,Alamance-Burlington Schools,310,Broadview Middle,X,X,58.12
10,Alamance-Burlington Schools,312,Highland Elementary School,, ,25.85
10,Alamance-Burlington Schools,320,E M Yoder Elementary,, ,30.73
10,Alamance-Burlington Schools,324,Eastern Alamance High,, ,20.42
10,Alamance-Burlington Schools,326,Eastlawn Elementary,X,X,65.28
10,Alamance-Burlington Schools,328,Edwin M Holt Elementary,, ,20.83
10,Alamance-Burlington Schools,340,Elon Elementary,, ,30.74
10,Alamance-Burlington Schools,346,B Everett Jordan Elem,, ,37.8
10,Alamance-Burlington Schools,347,Garrett Elementary,, ,39.25
10,Alamance-Burlington Schools,348,Graham High,X, ,41.65
10,Alamance-Burlington Schools,350,Graham Middle,X, ,55.21
10,Alamance-Burlington Schools,351,Grove Park Elementary,X,X,57.66
10,Alamance-Burlington Schools,353,Hawfields Middle,, ,32.39
10,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,X,X,71.89
10,Alamance-Burlington Schools,357,Haw River Elementary,X,X,62.83
10,Alamance-Burlington Schools,358,Hillcrest Elementary,X,X,61.44
10,Alamance-Burlington Schools,360,Hugh M Cummings High,X, ,47.93
10,Alamance-Burlington Schools,362,Marvin B Smith Elementary,, ,27.24
10,Alamance-Burlington Schools,364,North Graham Elementary,X,X,68.54
10,Alamance-Burlington Schools,372,Pleasant Grove Elementary,X,X,47.58
10,Alamance-Burlington Schools,374,R Homer Andrews Elementary,X,X,58.24
10,Alamance-Burlington Schools,378,Ray Street Academy,X, ,59.02
10,Alamance-Burlington Schools,380,South Graham Elementary,X,X,53.11
10,Alamance-Burlington Schools,384,South Mebane Elementary,, ,25.32
10,Alamance-Burlington Schools,388,Southern High,, ,20.16
10,Alamance-Burlington Schools,390,Southern Middle,, ,23.54
10,Alamance-Burlington Schools,392,Sylvan Elementary,X, ,42.35
10,Alamance-Burlington Schools,394,Turrentine Middle,X, ,43.18
10,Alamance-Burlington Schools,396,Walter M Williams High,, ,33.5
10,Alamance-Burlington Schools,400,Western Alamance High,, ,16.93
10,Alamance-Burlington Schools,403,Western Middle,, ,21.28
10,Alamance-Burlington Schools,406,Woodlawn Middle,, ,23.68
20,Alexander County Schools,302,Alexander Central High,, ,21.3
20,Alexander County Schools,303,Alexander Early College,, ,26.32
20,Alexander County Schools,304,Bethlehem Elementary,, ,24.35
20,Alexander County Schools,306,East Alexander Middle,, ,37.11
20,Alexander County Schools,308,Ellendale Elementary,, ,34.94
20,Alexander County Schools,316,Hiddenite Elementary,X, ,44.22
20,Alexander County Schools,320,Stony Point Elementary,X, ,45.31
20,Alexander County Schools,324,Sugar Loaf Elementary,, ,35.34
20,Alexander County Schools,328,Taylorsville Elementary,X,X,54.01
20,Alexander County Schools,330,West Alexander Middle,, ,24.76
20,Alexander County Schools,332,Wittenburg Elementary,, ,36.9
30,Alleghany County Schools,304,Alleghany High,, ,36.36
30,Alleghany County Schools,308,Glade Creek Elementary,X, ,44.94
30,Alleghany County Schools,316,Piney Creek Elementary,, ,28.48
30,Alleghany County Schools,320,Sparta Elementary,X, ,56.66
40,Anson County Schools,304,Anson Co. Early College High,X,X,43.96
40,Anson County Schools,305,Anson Challenge Academy,X,X,90.91
40,Anson County Schools,306,Anson High,X,X,70.4
40,Anson County Schools,308,Ansonville Elem,X,X,53.77
40,Anson County Schools,309,Anson Middle,X,X,68.09
40,Anson County Schools,311,Wadesboro Primary,X,X,90.21
40,Anson County Schools,316,Lilesville Elementary,X,X,78.41
40,Anson County Schools,324,Morven Elementary,X,X,85.35
40,Anson County Schools,328,Peachland-Polkton Elem,X,X,57.14
40,Anson County Schools,330,Wadesboro Elementary,X,X,81.05
40,Anson County Schools,700,Anson New Technology School,X,X,63.79
50,Ashe County Schools,302,Ashe County High,, ,30.6
