lea_no,lea_name,school_no,school_name,isp,eligible,participating,enrollment
10,Alamance-Burlington Schools,303,A.B. Middle College,0.2356, , ,
10,Alamance-Burlington Schools,304,Alexander Wilson Elementary,0.3118, , ,603
10,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,0.301, , ,628
10,Alamance-Burlington Schools,310,Broadview Middle,0.5462,X,X,736
10,Alamance-Burlington Schools,312,Highland Elementary School,0.2163, , ,
10,Alamance-Burlington Schools,320,E M Yoder Elementary,0.3077, , ,377
10,Alamance-Burlington Schools,324,Eastern Alamance High,0.2126, , ,
10,Alamance-Burlington Schools,326,Eastlawn Elementary,0.6313,X,X,613
10,Alamance-Burlington Schools,328,Edwin M Holt Elementary,0.1943, , ,
10,Alamance-Burlington Schools,340,Elon Elementary,0.3032, , ,719
10,Alamance-Burlington Schools,346,B Everett Jordan Elem,0.3687, , ,377
10,Alamance-Burlington Schools,347,Garrett Elementary,0.3303, , ,666
10,Alamance-Burlington Schools,348,Graham High,0.3901, , ,746
10,Alamance-Burlington Schools,350,Graham Middle,0.4914,X, ,641
10,Alamance-Burlington Schools,351,Grove Park Elementary,0.585,X,X,506
10,Alamance-Burlington Schools,353,Hawfields Middle,0.3132, , ,680
10,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,0.6867,X,X,667
10,Alamance-Burlington Schools,357,Haw River Elementary,0.5556,X,X,576
10,Alamance-Burlington Schools,358,Hillcrest Elementary,0.5923,X,X,650
10,Alamance-Burlington Schools,360,Hugh M Cummings High,0.4722,X, ,898
10,Alamance-Burlington Schools,362,Marvin B Smith Elementary,0.2652, , ,
10,Alamance-Burlington Schools,364,North Graham Elementary,0.6607,X,X,392
10,Alamance-Burlington Schools,372,Pleasant Grove Elementary,0.4851,X,X,303
10,Alamance-Burlington Schools,374,R Homer Andrews Elementary,0.5509,X,X,570
10,Alamance-Burlington Schools,378,Ray Street Academy,0.6341,X, ,123
10,Alamance-Burlington Schools,380,South Graham Elementary,0.4537,X,X,615
10,Alamance-Burlington Schools,384,South Mebane Elementary,0.2536, , ,
10,Alamance-Burlington Schools,388,Southern High,0.1909, , ,
10,Alamance-Burlington Schools,390,Southern Middle,0.2507, , ,
10,Alamance-Burlington Schools,392,Sylvan Elementary,0.4262,X, ,298
10,Alamance-Burlington Schools,394,Turrentine Middle,0.4273,X, ,873
10,Alamance-Burlington Schools,396,Walter M Williams High,0.3256, , ,1207
10,Alamance-Burlington Schools,400,Western Alamance High,0.1572, , ,
10,Alamance-Burlington Schools,403,Western Middle,0.2007, , ,
10,Alamance-Burlington Schools,406,Woodlawn Middle,0.2527, , ,
20,Alexander County Schools,302,Alexander Central High,0.216, , ,
20,Alexander County Schools,303,Alexander Early College,0.1957, , ,
20,Alexander County Schools,304,Bethlehem Elementary,0.2451, , ,
20,Alexander County Schools,306,East Alexander Middle,0.3438, , ,608
20,Alexander County Schools,308,Ellendale Elementary,0.3031, , ,287
20,Alexander County Schools,316,Hiddenite Elementary,0.3805, , ,502
20,Alexander County Schools,320,Stony Point Elementary,0.481,X, ,289
20,Alexander County Schools,324,Sugar Loaf Elementary,0.2699, , ,
20,Alexander County Schools,328,Taylorsville Elementary,0.4982,X,X,275
20,Alexander County Schools,330,West Alexander Middle,0.2291, , ,
20,Alexander County Schools,332,Wittenburg Elementary,0.3501, , ,337
30,Alleghany County Schools,304,Alleghany High,0.3341, , ,431
30,Alleghany County Schools,308,Glade Creek Elementary,0.4405,X, ,227
30,Alleghany County Schools,316,Piney Creek Elementary,0.2917, , ,
30,Alleghany County Schools,320,Sparta Elementary,0.4929,X, ,633
40,Anson County Schools,304,Anson Co. Early College High,0.2602, ,X,246
40,Anson County Schools,305,Anson Challenge Academy,0.6136,X,X,88
40,Anson County Schools,306,Anson High,0.4452,X,X,712
40,Anson County Schools,308,Ansonville Elem,0.3542, ,X,192
40,Anson County Schools,309,Anson Middle,0.539,X,X,629
40,Anson County Schools,311,Wadesboro Primary,0.7536,X,X,349
40,Anson County Schools,316,Lilesville Elementary,0.6157,X,X,268
