lea_no,lea_name,grade_level,school_no,school_name,n_students,DC FNS/TANF/FDPIR,homeless,runaway,migrant,foster,head_start,even_start,non_applicant,n_eligible,isp,isp_mulp
320,Durham Public Schools,Elementary,304,Bethesda,682,348,10, -   , -   , -   , -   , -   , -   ,358,0.52,0.84
320,Durham Public Schools,Middle,306,Brogden,523,266,8, -   , -   ,2, -   , -   , -   ,276,0.53,0.84
320,Durham Public Schools,Elementary,308,Burton,375,211,4, -   , -   , -   , -   , -   , -   ,215,0.57,0.92
320,Durham Public Schools,High,309,Early College,398,119,1, -   , -   , -   , -   , -   , -   ,120,0.30,0.48
320,Durham Public Schools,Elementary,310,Eastway,559,357,15, -   , -   , -   , -   , -   , -   ,372,0.67,1.06
320,Durham Public Schools,High,312,Jordan,"1,957",461,15, -   , -   ,5, -   , -   , -   ,481,0.25,0.39
320,Durham Public Schools,Elementary,313,Easley,512,94, -   , -   , -   , -   , -   , -   , -   ,94,0.18,0.29
320,Durham Public Schools,Secondary,314,School for Creative Studies,641,191, -   , -   , -   , -   , -   , -   , -   ,191,0.30,0.48
320,Durham Public Schools,Elementary,315,Eno Valley,551,328,7, -   , -   ,1, -   , -   , -   ,336,0.61,0.98
320,Durham Public Schools,Middle,316,Carrington,935,427,15, -   , -   ,6, -   , -   , -   ,448,0.48,0.77
320,Durham Public Schools,High,317,City of Medicine Academy,366,91,3, -   , -   ,2, -   , -   , -   ,96,0.26,0.42
320,Durham Public Schools,Elementary,318,Club,456,143, -   , -   , -   ,1, -   , -   , -   ,144,0.32,0.51
320,Durham Public Schools,Elementary,319,Creekside,882,223,6, -   , -   ,3, -   , -   , -   ,232,0.26,0.42
320,Durham Public Schools,Elementary,320,Glenn,645,360,6, -   , -   ,1, -   , -   , -   ,367,0.57,0.91
320,Durham Public Schools,High,322,Performance Learning Center,175,91,4, -   , -   ,1, -   , -   , -   ,96,0.55,0.88
320,Durham Public Schools,Secondary,323,Durham School of the Arts,"1,761",331,4, -   , -   ,5, -   , -   , -   ,340,0.19,0.31
320,Durham Public Schools,Elementary,324,Hillandale,635,272,9, -   , -   ,3, -   , -   , -   ,284,0.45,0.72
320,Durham Public Schools,High,325,Hillside,"1,327",698,26, -   , -   ,7, -   , -   , -   ,731,0.55,0.88
320,Durham Public Schools,Elementary,327,Hope Valley,656,273,5, -   , -   ,3, -   , -   , -   ,281,0.43,0.69
320,Durham Public Schools,Elementary,328,Holt,707,329,4, -   , -   ,1, -   , -   , -   ,334,0.47,0.76
320,Durham Public Schools,Elementary,332,Forestview,762,271,9, -   , -   ,2, -   , -   , -   ,282,0.37,0.59
320,Durham Public Schools,All,336,DPS Hospital School,5, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
320,Durham Public Schools,Middle,338,Shepard,452,264,2, -   , -   , -   , -   , -   , -   ,266,0.59,0.94
320,Durham Public Schools,Elementary,339,Lakewood Elementary,427,231,7, -   , -   , -   , -   , -   , -   ,238,0.56,0.89
320,Durham Public Schools,Elementary,340,Little River,527,128,1, -   , -   ,1, -   , -   , -   ,130,0.25,0.39
320,Durham Public Schools,Secondary,341,Lakeview,124,101,2, -   , -   , -   , -   , -   , -   ,103,0.83,1.33
320,Durham Public Schools,Middle,342,Lakewood Middle,289,70,1, -   , -   , -   , -   , -   , -   ,71,0.25,0.39
320,Durham Public Schools,Middle,343,Lucas,511,240,3, -   , -   , -   , -   , -   , -   ,243,0.48,0.76
320,Durham Public Schools,Elementary,344,Fayetteville Street,284,171,6, -   , -   ,1, -   , -   , -   ,178,0.63,1.00
320,Durham Public Schools,Middle,346,Lowe's Grove,651,365,9, -   , -   , -   , -   , -   , -   ,374,0.57,0.92
320,Durham Public Schools,Elementary,347,George Watts,388,74, -   , -   , -   ,1, -   , -   , -   ,75,0.19,0.31
320,Durham Public Schools,Elementary,348,Mangum,321,51, -   , -   , -   , -   , -   , -   , -   ,51,0.16,0.25
320,Durham Public Schools,Elementary,352,Merrick Moore,629,365,7, -   , -   ,3, -   , -   , -   ,375,0.60,0.95
320,Durham Public Schools,Elementary,353,Middle College,186,32, -   , -   , -   , -   , -   , -   , -   ,32,0.17,0.28
320,Durham Public Schools,Elementary,354,Morehead,250,53,1, -   , -   , -   , -   , -   , -   ,54,0.22,0.35
320,Durham Public Schools,Middle,355,Neal,807,405,11, -   , -   ,2, -   , -   , -   ,418,0.52,0.83
320,Durham Public Schools,High,356,Northern,"1,448",582,15, -   , -   ,4, -   , -   , -   ,601,0.42,0.66
320,Durham Public Schools,Elementary,360,Oak Grove,618,297,3, -   , -   ,5, -   , -   , -   ,305,0.49,0.79
320,Durham Public Schools,Elementary,362,Parkwood,574,296,7, -   , -   , -   , -   , -   , -   ,303,0.53,0.84
320,Durham Public Schools,Elementary,363,E K Powe,489,164,9, -   , -   ,1, -   , -   , -   ,174,0.36,0.57
320,Durham Public Schools,Elementary,364,Pearsontown,830,170, -   , -   , -   ,2, -   , -   , -   ,172,0.21,0.33
320,Durham Public Schools,High,365,Riverside,"1,774",619,8, -   , -   ,2, -   , -   , -   ,629,0.35,0.57
320,Durham Public Schools,Middle,366,Githens,999,374,15, -   , -   ,1, -   , -   , -   ,390,0.39,0.62
320,Durham Public Schools,Elementary,367,R N Harris,341,163,4, -   , -   , -   , -   , -   , -   ,167,0.49,0.78
320,Durham Public Schools,High,368,Southern,"1,301",576,11, -   , -   ,5, -   , -   , -   ,592,0.46,0.73
320,Durham Public Schools,Elementary,369,Sandy Ridge,576,283, -   , -   , -   ,1, -   , -   , -   ,284,0.49,0.79
320,Durham Public Schools,Middle,370,Rogers Herr,632,175,3, -   , -   ,1, -   , -   , -   ,179,0.28,0.45
320,Durham Public Schools,Elementary,372,Southwest,634,266,5, -   , -   , -   , -   , -   , -   ,271,0.43,0.68
320,Durham Public Schools,Elementary,374,C C Spaulding,314,209,6, -   , -   ,1, -   , -   , -   ,216,0.69,1.10
320,Durham Public Schools,Elementary,376,Spring Valley,645,235,4, -   , -   ,3, -   , -   , -   ,242,0.38,0.60
320,Durham Public Schools,Elementary,388,W G Pearson,488,281,2, -   , -   , -   , -   , -   , -   ,283,0.58,0.93
320,Durham Public Schools,Elementary,400,Y E Smith,345,236,3, -   , -   , -   , -   , -   , -   ,239,0.69,1.11
320,Durham Public Schools,High,701,Hillside New Tech,342,123,2, -   , -   ,2, -   , -   , -   ,127,0.37,0.59
,,,,SFA Totals,"33,706","13,483",298, -   , -   ,79, -   , -   , -   ,"13,860",0.41,0.66
